Block Length,Entropy Plain Text,Entropy Cipher Text,CCMP Entropy MIC,CCMP Encryption Time,CCMP Encryption RAM,CCMP Encryption CPU,CCMP Decryption Time,CCMP Decryption RAM,CCMP Decryption CPU,GCMP Entropy MIC,GCMP Encryption Time,GCMP Encryption RAM,GCMP Encryption CPU,GCMP Decryption Time,GCMP Decryption RAM,GCMP Decryption CPU
54,4.242429923955808,7.7896408334137925,4.0,15.944617000000004,22.24609375,8.498480861000003,21.498153999999996,22.24609375,602.3137806179999,3.875,11.224248,22.24609375,173.51564983199998,7.894193000000002,22.24609375,4.199710676000001
55,4.248740103165813,7.782964821239915,4.0,16.549536999999997,22.25,8.837452757999998,21.854764000000003,22.25,623.057466876,3.75,11.471508999999998,22.25,180.41242204299996,8.109827000000001,22.25,4.314427964000001
56,4.24715126113809,7.7895904884682325,3.702819531114783,15.388565000000003,22.2578125,8.202105145000003,22.580194,22.2578125,654.8482061939999,4.0,11.588817999999998,22.2578125,185.36314390999996,8.183781000000005,22.2578125,4.353771492000003
57,4.246908724291127,7.7820268304956715,4.0,16.562378000000002,22.2578125,8.844309852000002,22.481725999999995,22.2578125,663.0535449179998,4.0,11.816242999999998,22.2578125,192.16755990899998,8.249600999999998,22.2578125,4.388787731999999
58,4.245745491597192,7.791805209425528,3.875,16.913162999999997,22.26953125,9.014715878999999,23.025102000000004,22.26953125,690.4076834700002,3.75,12.082777000000005,22.26953125,199.74038658700007,8.339768999999999,22.26953125,4.436757107999999
59,4.245336179008885,7.790500984539133,4.0,16.672936000000014,22.2734375,8.886674888000007,23.297083000000004,22.2734375,710.025198591,3.75,12.275123,22.2734375,206.20979127700002,8.777665000000008,22.2734375,4.678495445000004
60,4.255239639471551,7.794567450721965,4.0,17.029231999999986,22.27734375,9.076580655999992,25.484270000000002,22.27734375,789.2223576300001,4.0,14.482463,22.27734375,247.172196021,8.519768999999997,22.28125,4.532517107999998
61,4.268438884481079,7.794710764679093,4.0,17.737782000000003,22.28515625,9.454237806000002,23.967343000000007,22.28515625,754.0365781230001,4.0,12.568940000000001,22.28515625,217.8825749,8.646583000000001,22.28515625,4.599982156
62,4.263318176124431,7.789169566670871,4.0,19.14930099999999,22.2890625,10.206577432999994,24.578440000000008,22.2890625,785.3548933200002,4.0,12.796986999999996,22.2890625,225.26536216099993,8.848738999999998,22.2890625,4.707529147999999
63,4.27067222943623,7.7957859418261215,4.0,17.667292999999997,22.2890625,9.416667168999998,24.883593000000005,22.2890625,807.3481748850002,3.875,13.037447999999996,22.2890625,232.99223320799993,9.199583000000002,22.2890625,4.9033777390000015
64,4.269239965331311,7.793512958644208,4.0,27.889803999999994,22.2890625,14.893155335999996,25.338656999999998,22.2890625,834.5793456089999,3.875,13.212288999999997,22.2890625,239.65771017099993,9.165612,22.2890625,4.876105584
65,4.274102149420761,7.808816345329234,4.0,20.364481999999995,22.2890625,10.874633387999998,25.514684,22.2890625,852.930371436,3.875,13.483019000000002,22.2890625,248.18193073300003,9.253189,22.2890625,4.922696548
66,4.278905806285477,7.810263504306193,3.875,18.224068,22.2890625,9.713428244,26.263771000000002,22.2890625,890.893376091,4.0,13.595657000000001,22.2890625,253.89889447500002,9.261080000000002,22.2890625,4.926894560000001
67,4.277303044586596,7.820850230556912,3.75,19.542994000000004,22.29296875,10.416415802000003,26.275059000000002,22.29296875,904.2036053670001,4.0,13.822275,22.29296875,261.835355325,9.388471999999995,22.29296875,5.004055575999997
68,4.279617393636565,7.827823482098615,4.0,18.879917000000003,22.29296875,10.062995761000002,27.18859,22.29296875,949.0177339500001,3.875,13.997284,22.29296875,268.901822924,10.831211999999995,22.29296875,5.773035995999997
69,4.275474504991069,7.8292538415391535,3.875,19.916173000000004,22.29296875,10.615320209000004,26.907542000000003,22.29296875,952.4462641740001,3.875,14.185766000000001,22.29296875,276.324535914,9.752142,22.29296875,5.188139543999999
70,4.275822715659522,7.8252552472157335,3.875,19.865305,22.29296875,10.608072869999999,27.20918000000001,22.29296875,976.5102610200004,3.875,14.539838999999999,22.29296875,287.118200733,9.951676999999995,22.29296875,5.294292163999998
71,4.277253569711234,7.83149664497697,4.0,19.960284,22.29296875,10.638831372,27.672313999999997,22.29296875,1006.7464556339999,3.875,14.620341999999996,22.29296875,292.62614512999994,11.165433999999998,22.29296875,5.951176321999999
72,4.274960308686611,7.8303702784407445,4.0,20.300857000000008,22.29296875,10.820356781000005,28.226147000000005,22.29296875,1040.782718331,4.0,14.754275000000002,22.29296875,299.260959825,10.157110999999997,22.296875,5.403583051999998
73,4.275860938686294,7.83794167485405,3.875,21.597606999999996,22.296875,11.533122138,28.404904000000005,22.296875,1061.3492379600002,4.0,14.826307999999997,22.296875,304.69545570799994,10.158014999999999,22.296875,5.40406398
74,4.28030063287275,7.839658689396825,4.0,19.36768799999999,22.296875,10.342345391999995,29.248812,22.296875,1107.272275884,3.875,15.061223000000004,22.296875,313.55960163700007,10.35200900000001,22.30078125,5.517620797000005
75,4.277715125781824,7.837549339046033,3.875,21.038578000000005,22.30078125,11.234600652000003,30.098479000000005,22.30078125,1154.2465711710001,4.0,15.276949000000002,22.30078125,322.14502356300005,11.186121000000005,22.30859375,5.951016372000003
76,4.272964962280454,7.84471005303658,4.0,21.173211000000002,22.3125,11.285321463,30.386727999999998,22.3125,1180.2509022479999,4.0,16.023059999999997,22.3125,342.1724463,10.562726000000001,22.3125,5.6193702320000005
77,4.273994698800465,7.84404573737767,3.875,50.51356900000002,22.3125,26.97424584600001,31.874631,22.3125,1253.724861123,4.0,15.767064000000001,22.3125,340.93122487200003,11.520290000000001,22.3125,6.12879428
78,4.273313537092011,7.843443203839951,4.0,22.594773999999997,22.31640625,12.043014541999998,30.916260000000005,22.31640625,1231.2400545000003,4.0,15.997178000000003,22.31640625,350.1942235980001,10.787904000000001,22.31640625,5.739164928
79,4.269572803126954,7.85180905944125,4.0,21.442424,22.31640625,11.428811991999998,31.327868999999993,22.31640625,1263.0456944729997,4.0,16.066276,22.31640625,356.0126098839999,10.686449000000001,22.31640625,5.695877317000001
80,4.270862435999695,7.851316806711949,3.875,21.504408,22.31640625,11.461849464000002,31.53206700000002,22.31640625,1286.7921222030006,3.875,16.223170000000007,22.31640625,363.83703359000015,11.010905000000001,22.31640625,5.857801460000001
81,4.2706258431904685,7.854129475197395,4.0,22.973624999999988,22.31640625,12.267915749999993,31.496618999999995,22.31640625,1300.841861319,4.0,16.553435999999998,22.31640625,375.68023001999995,11.206305,22.3203125,5.972960565
82,4.2788551857048205,7.857063759191431,3.702819531114783,23.49773499999999,22.3203125,12.547790489999995,32.62861200000001,22.3203125,1363.6475813160002,4.0,16.731071,22.3203125,384.195583373,11.395564999999998,22.3203125,6.062440579999999
83,4.278405600214007,7.856306914393566,3.875,22.77945499999999,22.3203125,12.164228969999995,32.998203,22.3203125,1395.3290138549999,3.875,16.931866,22.3203125,393.344179046,11.479384,22.3203125,6.107032287999999
84,4.281146541558867,7.85438303463268,3.875,22.980169999999998,22.3203125,12.271410779999998,33.027768,22.3203125,1412.828831736,3.875,17.080300000000005,22.3203125,401.36996970000007,11.547859999999995,22.3203125,6.143461519999997
